source,company,position_id,parent_position_id,job_requirement_id,position_intention_id,position_intention_name,position_name,position_url,position_req_code,batch_id,batch_name,category_name,family_code,family_name,data_source,work_locations,interview_locations,departments,circles,circle_codes,channels,feature_tags,publish_time,modify_time,graduation_from,graduation_to,requirement,description
meituan,Meituan,4231596311,,,,,国内收付前端项目实习生,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4231596311,,,Meituan Campus Internship,技术类,,,,北京市,,金融服务平台,,,,,1774146020000,,,,"1.有专门导师帮助快速上手及持续提升。
2.参与收银台相关大流量、核心项目，积累丰富的实习经验。
3.提前熟悉主流互联网公司的工作模式和方法，为后续职业生涯铺路。
4.团队技术氛围较好，不内耗。","1.参与美团收银前端项目的开发和维护工作。
2.与团队协同探索AI Coding和AI运维的落地。"
meituan,Meituan,4177326963,,,,,大模型数据爬取后端实习生,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4177326963,,,Meituan Campus Internship,技术类,,,,北京市,,核心本地商业-基础研发平台,,,,,1774141306000,,,,"1. 接触大模型数据工程，积累AI基础设施实战经验。  
2. 导师指导，快速提升后端开发与网络技术应用能力。  
3. 灵活的工作安排，适合在校学生平衡学业与实习。  
4. 表现优秀者有机会获得转正或推荐机会。","1. 协助开发与维护数据爬取相关的后端服务，支持大模型训练数据采集。  
2. 参与数据清洗与预处理流程的实现与优化。  
3. 配合团队完成爬虫任务调度与异常监控。  
4. 学习并应用网络协议与反爬策略应对技术。  
5. 编写基础技术文档，记录开发过程与问题解决方案。"
meituan,Meituan,2912154756,,,,,基础技术-AI Coding项目实习生,https://zhaopin.meituan.com/web/position/detail?jobUnionId=2912154756,,,Meituan Campus Internship,技术类,,,,北京市 | 上海市,,核心本地商业-基础研发平台,,,,,1773994926000,,,,"🔥 为什么选择我们？​

这不是一份“由师兄分配需求、你负责写代码”的传统实习。

在 v2026 的新组织架构下，我们正在进行一场激进的 ​“去分工化”​ 实验。我们打破了产品与研发的职能墙，致力于通过 AI Coding 和 Agentic Workflow 重构云基础设施的管理体验。

在这里，你不是“切图仔”或“后台接口搬运工”，你是 ​“AI 的驾驶员”​ 和 ​“业务逻辑的编排者”​。你将亲身参与从 Legacy 系统向 LUI (Language UI) + GUI 融合架构的代次性跨越。


🎁 你将获得

弯道超车的机会：​ 提前掌握 2026 年最前沿的 AI-Assisted Development 工作流，这将在未来 5 年成为行业标配。

高密度的技术成长：​ 直接向 Product-Engineering Lead 或 Platform Engineering Lead 汇报，由资深技术专家一对一指导。

真实的业务影响力：​ 你的产出将直接服务于公司内部的海量云资源与服务的平台，提升云管与运管场景的用户体验。

表现优异者可直接锁定校招offer。","1、业务体验创新

核心使命：​ 这里的 KPI 不是“页面上线数”，而是 ​“用户少点了多少次鼠标”​。
你将做什么：​
1）利用 AI Coding 工具（如 Cursor, Windsurf, 或内部 IDE）快速构建 BFF (Backend for Frontend)​ 层，聚合底层 API。
2）开发下一代云管交互界面，探索 Chat-UI（流式组件）​ 与 Generative UI（生成式界面）​ 的落地，让用户通过对话完成复杂的云资源调度。
3）参与“智能排障 Copilot”或“资源编排 Agent”的场景落地，将复杂的运维SOP转化为 AI 可执行的 Action。

2、平台工程底座
核心使命：​ 为业务组提供“跑得快”的武器库，打造部门级的 AI 开发基础设施。
你将做什么：​
1）参与搭建部门级的 AI Agent 开发框架，封装 LLM 能力（Prompt 管理、记忆管理、Tool Use 标准）。
2）开发 元数据驱动 (Metadata-Driven)​ 的低代码引擎，让 AI 自动生成通用的 CRUD 管理页面。
3）建设统一的 Design System 和组件库，确保 AI 生成的代码符合工程标准。"
meituan,Meituan,4267786333,,,,,数据开发（data+ai方向）项目实习生,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4267786333,,,Meituan Campus Internship,技术类,,,,北京市,,核心本地商业-基础研发平台,,,,,1773922329000,,,,"1.在实践中探索和落地AI、大模型在数据开发、数据治理、数据效能等方面的创新应用；
2.深入美团外卖业务，有机会通过数据赋能业务取得更好的发展;
3.实践复杂业务场景的数仓建设、数据处理和分析优化。","1.参与基于AI技术的数据开发工具、组件和平台的开发，提升数据开发效率、自动化水平；参与能够赋能业务、挖掘业务价值的ai组件开发；
2. 外卖数据仓库建设，建设外卖统一的、符合数据平台规范的企业级数据仓库;
3.数据服务建设，对外提供稳定，可靠的数据服务，支撑业务系统。"
meituan,Meituan,4186951948,,,,,大模型应用开发项目实习生,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4186951948,,,Meituan Campus Internship,技术类,,,,北京市 | 上海市,,核心本地商业-业务研发平台,,,,,1773644673000,,,,前沿探索，业务高速发展，个人成长空间大，技术挑战大,"1、负责大模型在智能客服领域落地的应用场景的开发、调优、测试和维护
2、负责prompt的编写、调试和维护
3、负责Prompt工程系统的设计开发，包括Agent，Prompt，Chain等核心模块。
4、负责大模型及Prompt在业务系统里的评测体系建设"
meituan,Meituan,4264627011,,,,,大模型后端开发实习生,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4264627011,,,Meituan Campus Internship,技术类,,,,北京市,,GN06,,,,,1773642666000,,,,"1. 深度参与 AI 原生应用的工程实践
2. 小团队技术氛围浓厚，成长空间大","1. 参与 AI 原生应用的后端服务开发与功能迭代
2. 协助进行后端服务开发及相关系统功能实现
3. 参与 AI 应用相关工程项目，协助完成技术探索与实践"
meituan,Meituan,4249416960,,,,,AI方向后端开发工程师（实习）,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4249416960,,,Meituan Campus Internship,技术类,,,,上海市,,核心本地商业-业务研发平台,,,,,1773380696000,,,,"1、0-1 建设机会 — 消费医疗行业高速发展，多个核心链路从零搭建，技术决策权充分； 
2、业务侧 AI 探索意愿强，团队正在将 AI能力落地到用户导购与消费决策提效真实场景中；
3、极客氛围 — 团队内部追求极客精神，氛围好，成长快，重视代码质量与工程实践，鼓励技术好奇心；","1. 参与后端服务的设计、开发与性能调优
2. 参与AI Agent能力建设，包括multiagent架构设计、prompt优化、SKILL、MCP建设
3. 协作推动AI Coding在团队研发效能场景落地"
meituan,Meituan,3786372696,,,,,大模型应用-数据开发（实习生）,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3786372696,,,Meituan Campus Internship,技术类,,,,北京市,,核心本地商业-美团平台,,,,,1773310041000,,,,"1. 前沿技术实践：直接参与大模型在真实业务场景的应用，积累实战经验

2. 团队氛围：年轻有活力的团队，定期技术分享，鼓励创新","1. 参与数据仓库建设，为外卖、到餐等业务场景提供数据支持。

2. 参与菜品、商家属性的智能标注与数据清洗，提升算法模型的数据质量

3. 协助构建用户画像，优化AI推荐效果

4. 探索大模型在业务中的创新应用，推动AI生成内容落地"
meituan,Meituan,4165283121,,,,,外卖探索大前端研发（项目实习）,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4165283121,,,Meituan Campus Internship,技术类,,,,北京市,,核心本地商业-业务研发平台,,,,,1773109314000,,,,"1. 技术广度与深度：业务场景丰富，涵盖Web、iOS、Android、Node等技术栈。代码直面千万级日活用户，技术挑战大，成长空间广阔；
2. 优质团队文化：团队梯队合理，资深专家与年轻力量并存。倡导技术驱动、尊重个性、开放包容的工程师文化；
3. 前沿技术探索：团队正积极推行AI驱动的开发模式，实习生将有机会直接参与AI应用的开发与落地，探索下一代研发模式。","1. C端业务研发：协同产品与测试团队，负责外卖APP内探索类业务的前端开发与落地；
2. PC端系统建设：负责内部运营后台及相关PC端Web页面的迭代，提升业务运营效率；
3. 质量与体验把控：保障研发过程的质量与交付周期，持续优化产品性能、稳定性及用户交互体验。"
meituan,Meituan,4242195249,,,,,开发工程师实习生（工程基建方向）,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4242195249,,,Meituan Campus Internship,技术类,,,,北京市,,软硬件服务-软件研发部,,,,,1773059544000,,,,"1. 接触复杂业务系统：接触美团软硬件服务相关的工程开发和质量保障工作，覆盖餐饮 SaaS、酒店 SaaS、充电宝与骑行等业务场景。
2. 导师一对一指导：指定导师负责日常答疑、代码 Review 和成长沟通，帮助快速熟悉工程实践和团队协作方式。
3. 技术栈覆盖完整：可接触后端（Java/Spring）、前端、CI/CD 流水线、自动化测试框架、效能度量平台等方向。
4. 鼓励大语言模型辅助工作：团队鼓励在日常工作中使用各类智能化工具做代码、文档和问答等辅助，提高效率。
5. 鼓励前沿技术探索：鼓励应用大模型、AI Agent 等方向的新技术，并参与实际场景探索。","1. 参与智能化在质量工程基础设施相关工具建设，包括持续交付、自动化测试、效能度量等。
2. 参与智能化测试、Agent 工程化等方向的新技术探索和实际落地。
3. 负责具体工具或功能模块开发，支持技术团队提升研发效率和交付质量。"
